,HC,HC,HC,HC,HC,HC,HC,HC,PC,PC,PC,PC,PC,PC,PC,PC,PC,SC,SC,SC,SC,SC,SC,SC,SC,SC
NADPH-P450 Oxidoreductase,118.9,80.2,84.5,98.9,92.8,72.3,195.2,282.5,56.4,62.5,53.9,64,59,70.4,54.2,79.5,83.9,82.9,83.6,56.3,56.7,84.6,53.2,57.8,222.5,57.9
Dynactin subunit 2,218.4,239.6,214.5,232.8,208.8,304.8,201.8,259,330.4,221,328.3,270.7,196.2,355.2,263.3,365,288.8,341.3,337.9,362.8,432.5,783.7,401,275.2,267.1,363.5
CLM6,161.5,189.4,202.4,147,121.5,122.7,112.4,127.1,782.5,190.2,213.5,148.2,236.6,189,147.7,164.1,107.4,305.1,863.6,122.9,479.9,1102.5,1782,415.6,256.2,249.3
Annexin V,233.8,250.1,189,210.3,89.9,150,177.4,171.2,237.5,122,188.1,201.6,131.4,4221.1,165.9,187.3,223.3,220.7,794.7,201.5,264.7,8835,1495,670.8,452.4,277.5
RSPO4,54.4,49.8,63.7,51.7,61.6,47.8,49.9,46.9,46,45.1,46.5,48.6,56.2,42.6,44.1,54.8,46.9,44.9,39,47.6,46.9,34.2,46.3,43.2,47.5,48.5
Elafin,3889.7,11440.1,6456,3811.8,2921.5,3582,2594.8,6504.8,42348.8,26566,32859.8,11164.2,8960.9,5063.2,19958.9,7103.1,15648.2,6708.1,42444,6488.1,56090.2,21277.4,5877.6,18572,30229.4,9991.4
granzyme A,108.7,118.9,112.9,67.7,97.7,155.5,77.3,89.2,839,331.4,1957.4,196.2,279.8,416.5,400.5,129.6,91.5,2439.4,2901,76.6,558.3,1482.9,181.5,337.6,205.4,300.9
S100A6,10828.8,15545.2,4713.3,9993.9,2475.7,10206.6,7922.1,16156,96268.5,16237.7,80710.3,38292.9,4212,130601,18774.5,47589.6,9118.9,59377.2,96567.6,11710.4,21632.8,134226.5,8283.4,30976,24705.1,18056.2
NPS-PLA2,3780.9,7420.8,4694.4,6849.2,2373.8,5529,6409.2,25172.2,29868.7,66769.7,27765.2,6020.7,5721.9,8074.7,24845,8899.8,5608.8,49564.1,57242.5,6727.2,55732,85096.1,24282.7,28903.8,13817.7,6980.6
C3d,1251.8,801.7,798.3,736.7,680.4,1162,635.9,659.6,2030.2,734.4,1491.5,821.8,709.4,1682.3,959.8,653.2,942.9,2582.6,3078.8,1245.1,1655.5,13683,1330.9,1816,770.6,911.5
Elastase,12685.1,40455,19339.5,4075.2,3480.1,9385.4,1768,8277.5,254838,23126.7,34234.4,9302.6,183516.2,19689.6,25251.3,5770.6,8800.4,81760.4,124166.1,2321.2,160483,136186.1,424840.8,84371.2,84997,32728.8
FBLN3,344.5,326.7,406.1,372.3,375.1,448.7,343,316.4,849.9,345.3,835.5,404.4,299.3,1337.3,378.9,418.4,443.2,459.1,1925.2,555.4,804.5,8107.6,503.6,545.7,286,518.9
PKC-B-II,78.2,75.5,85.8,103.9,34.7,51.5,36.4,47.5,361.8,51.7,120.3,220.1,89.9,382.1,47.7,59.8,38,110.6,682.2,53.3,362.5,506.1,131.3,115,229.4,57.6
Clusterin,107.5,89.6,77.4,81.6,87.8,90,93.2,83.9,90.3,87.4,80.6,90.8,94.7,113.7,89.1,88.7,102.8,99.9,122.4,96.1,99.7,96.2,93.3,94.4,94.9,100.7
alpha-1-antichymotrypsin complex,4855.5,121216.7,106408.2,4506.7,619.7,62478.4,2355.6,9311,180861.8,36973.7,164773.7,102092.5,138450.8,99742.8,21500,53371.7,874.9,233366,144540,15965.7,304689.4,191103.6,295730.5,61710.2,44882.2,439149.7
Ferritin,1627.5,8974.9,4457.9,550.3,3986.2,9030.4,4851.8,8891.6,11004.6,10169.2,3515.3,5539.5,13241.1,17104.7,4516.4,22166,1591,111229.9,20911.3,5087.6,71711.7,16610.3,2289.8,27663.3,52590,16649.2
Galectin-4,76.8,71.9,75.5,73.1,86.2,77.3,71.3,68.4,70.3,85.8,70,69.4,77.8,70.4,75.6,72.7,79.5,65,64.5,81.6,67.2,56.5,67.8,66.9,71.4,65.1
SECTM1,233,267.7,381.6,280.9,233.9,259,226.2,252.1,509,443.4,357.1,310.2,232.8,323.9,420.9,298.1,255.8,291,338.1,291.3,311.7,552.1,286.8,275.1,291,493
HXK2,52.5,49.5,49.5,62.9,47,72.7,51.5,48.3,41,41.3,46.8,51.4,51.5,44,51.1,38,51.9,52.9,44.2,43.6,44.4,34.6,49.3,43.3,42.4,46.9
PSME3,77.7,80.9,76.6,68.9,83.3,112.6,73.8,81.1,177.4,105.3,189,64.4,160.5,172.3,105.5,90.4,115.4,115.5,375.1,88.4,59.5,222.4,140.3,174.4,87.5,126.1
resistin,221.6,520.4,278.9,190.1,261.1,298.2,200.9,237.7,466.2,376.3,608.7,184.6,395.9,1099.7,270.4,179.6,171,1270.3,1415.7,140.7,2745.8,2241.9,3543.9,609.9,803.1,283.7
Lactoferrin,3024.3,1738,1086.5,786.5,268,873,597.4,535.6,8271.9,13881.3,2725.4,679,1677.9,6579.3,3780.3,818,3452.5,1632.1,18634.9,527.3,68240.8,134432.4,8756,3114.2,3466.9,1556.8
Myeloperoxidase,23032.1,35758.6,13133.8,2557,4119,6328.2,1809.4,3737.3,255231,40703.6,53637.3,4031.1,107187.9,80403.2,32114.5,3092.3,9669.4,78894.6,185686,1639.6,172042.5,167786,449632.2,133337.5,55301.3,12461.6
CSK21,63.7,59.4,52.6,60.1,51.3,54.5,59,61.7,51.5,46.7,50.1,59,62.2,43.3,47.7,57.7,57.5,52.8,50.7,54.6,57.6,44.9,49,45.8,55.7,49.7
MMP-13,79.4,78.3,80.1,119.1,88.2,88,94,121.8,66.6,78.6,96.1,66.7,76.3,182.7,93.5,86.9,130.3,79.4,87,73.4,66.4,78.2,71.2,95.4,73.4,68.8
Thymidine kinase,74,66.9,59.2,62.7,68.4,77.3,64.7,55.4,55.2,48.4,55.6,55,64.3,72.1,54.1,48.5,65.5,57.8,58.9,64.7,46.3,37.7,44.3,64.9,58.5,36.9
Artemin,68,64.5,68.8,68.6,66,61.3,68.4,73.3,54.4,59.7,61.7,65.8,64.9,58.1,57.9,55.1,99.2,56.5,48.4,68.4,56.9,43.6,56,55.2,68.8,59.7
FGF9,41.8,43.5,44.4,43.1,43.8,44.3,39.4,46.8,38.4,41.2,41.5,42.1,51.2,40.2,42.8,45.2,41.5,42.3,36.8,40.6,43,31.4,43.5,38,43.1,31
PPIE,74.3,57.7,58.6,54.5,54.3,50.6,61.7,65.1,43.1,47.9,50,56.5,63.3,56.6,58.4,58.1,60.5,53.5,41.6,49.3,52.9,38.3,52.4,52.4,70.1,43.5
CBX5,56.5,55.8,47,57.4,63.1,54.1,56.5,55.9,50.2,49.7,53.7,55.1,60,52.4,49.9,59.2,58.1,52.7,53.2,50.1,50,42.7,50.5,56.1,55.2,32.8
GX,528.2,612.8,443.8,544.2,389.6,333.5,1394.2,1146.1,1801.6,2202.6,829.6,849.1,554.4,1614.4,2202.3,1005.7,937.9,2032.1,1688.2,631.1,515.8,1047.2,594.1,1568.8,2198.6,1819.6
Ephrin-A3,303.6,247.1,229,289.1,185.3,151.1,180.4,132.8,130.8,236.5,216.6,147.7,145.6,126.7,189.2,158.6,126,184.4,127.7,144.3,169.4,122.2,133,128.2,138,218.7
GCP-2,52.1,53.1,41.9,44.5,43.7,52.7,44.4,38.5,38.6,33.8,39.7,38.4,45.8,36.5,38.9,45.6,47.5,43.6,32,43,41.4,35.5,38.7,50.9,40.8,30.3
HDGR2,88.4,71.8,74,74.3,124.3,93.8,90.4,80.7,66.6,110,59.8,64.5,66.1,75.7,83.9,71.7,87.6,65.6,87.1,72.7,65.7,57.7,68.4,88.1,75.8,58.2
ILT-4,65.3,67.2,76.4,63.4,64.6,61.3,75.3,71,121.9,75.8,108.3,66.8,78.8,59.9,80.7,80.1,60.8,77.8,121.9,65.7,77.9,584.5,73.3,85.7,67.5,69.8
ANGL3,78.2,70.2,76.8,66.6,121.1,68.7,75.8,72.3,57.9,114.4,59.5,63.4,63.6,58.1,90.1,66.2,102.1,60,67.3,57.7,60.8,51.6,60.4,105.6,66.3,75.1
IF4A3,79.6,123.2,80.9,1327.6,71.3,72.9,74.4,80.2,74.1,61.2,64,180.9,85.9,56.2,65.3,162,62.7,73.7,76.2,62.7,67.9,53,75.8,62.9,74.9,72.6
SAP,3915,2732.2,5232,2615.2,834.4,4054.3,934.7,2177.6,18776.9,837.5,7581.3,3193.4,3071.6,9927.8,1789.6,2657.3,5178.8,17828.7,226252.2,1589.4,78483.9,46041.5,233532.2,55500.5,1454.5,17156.6
ROBO3,61.9,67.8,75.3,61.8,73,59.7,66.9,60.9,55.7,65.9,58.4,66.1,68.7,50.5,61.9,73.3,59.7,58.7,49.8,54.6,66.1,54.7,66.3,64.7,59.1,59.4
DAN,82.9,95.5,101.5,94.2,105,97.3,74.5,82,113.9,114.8,103.9,98.6,77.9,100.6,95.9,95,73.3,92.4,120.2,106.8,105.6,108,105.2,78.2,111.2,110.1
EGF,100.5,112.9,159.1,101.1,114.5,92.7,93.4,94.7,163.3,101.2,115.4,115.2,117.4,95,90.2,111.8,90,123.7,148.8,109.4,135.8,114.2,275.3,116.9,103,180.5
annexin VI,1032.3,167.9,207.7,148.5,161.2,207,151.7,145.5,439.4,201,339.9,205.6,84,412.3,183.1,139.2,178.8,362.3,420.8,221.9,199.3,1358.5,285.3,337.5,189.9,520.5
PIM1,134.7,142,263.8,135.5,230.3,133.8,156.8,139,173,225.4,201.6,160.9,136.5,135.2,206.8,161.3,130.3,237.7,505.1,197.2,178.6,139.7,264.1,410.8,145.2,271.5
PIANP,147.8,154.7,222.8,142.2,124,152.9,131,126.2,255.2,120,145.4,184,162.4,134.5,115.3,173.4,116.9,173.3,232.1,137.7,270.5,198.4,500,162.9,146,349.7
HCE004152,95,97.3,98.2,94.3,99.8,98.2,98.7,96.3,98.7,97.2,97.3,92.4,96.6,94.9,97.2,95.2,97.1,94,92.1,96.5,93.8,94.6,96.3,95.8,97.6,66.8
annexin I,994.6,1080.4,1448.3,1039.6,418.7,1370.9,176.5,759.9,4345.2,7145,2810,2272.5,353,9558.6,1760.4,3850.6,395.9,1412,5040.6,455.5,10177.1,48778.8,2951.3,3453,9766.4,658.1
PGM1,52.7,63.9,70.8,57,64,59.8,52.1,56.6,83.2,71.2,64.5,69,65.6,61.6,54.8,67.9,59.7,73.7,86.6,69.6,66,75.3,129.8,71.1,56.7,54.4
Laminin,48.2,54.3,54.6,56.9,51.9,55.1,45.7,46.4,58.9,67,55.3,60.3,40.5,59.7,67.8,46.9,54.4,57.6,123.6,55.3,112.5,232.1,88.2,53.6,58.4,28.5
BFL1,9400.9,14482.4,13234.2,16422.3,3171.6,33135.2,1190.2,3508.8,2401.2,12450.2,1599.3,14455.3,1310.9,2303.8,4952.8,8141.9,2949.9,2618,1917.8,3017,2013.1,3069.1,8310.3,7171.2,3370,1158.6
B7-H1,64.1,149.3,66.5,68.7,76.3,54.5,64.7,85.6,215.6,48.4,51.1,75,70.6,53,53.8,58.7,60.5,56.7,126.5,64.3,55.7,39.4,55.5,50.2,56,50.7
BMPER,79.6,77.9,123.6,75.2,98.6,81.2,74.9,78.3,69.6,63.1,67.8,77.6,83,56.1,60.6,103.7,95.9,73.9,84.7,63.3,75,55.8,69.4,66.1,74.2,90.7
GDF-9,268.6,72.6,95.2,117,143.7,113.3,76.5,84.5,86.9,147.1,65.2,61.9,68.3,299.2,89.4,60.1,79.7,66.3,93.8,79.2,66,70.5,106.5,83.2,78.5,65.7
CAPG,188.3,174.2,153.9,206.3,103.5,165,150.8,140.1,210.4,131.2,167.3,278.8,178.3,189.3,177.7,178.7,127.1,349.9,667.7,169.3,258.9,790.7,159.3,144.7,237.8,276.8
FLRT1,89.8,89.6,88.9,79.4,93.9,75.5,88.1,69.6,236.4,108.6,99.8,76.3,84,92,86.8,82.9,86.4,131.2,258.7,81.5,136,205.4,618.2,174.3,102.2,63.8
CD47,121.2,54.2,64.7,99,112,59.1,69.1,110.6,62.5,90,56,52.9,51.2,53.3,93.8,59.1,78.6,56.7,64.7,67.9,48.4,49.6,65.9,65.9,56.8,38.8
CRIS3,82.7,81.6,49.9,58.6,40,47.2,47.7,50.4,684.6,127.4,127.8,60.8,57,177.9,97.8,49.2,67.6,73.5,307,55.3,358.5,519.5,113.3,142.4,79,41
BAFF Receptor,336.4,241.8,234.4,277.2,196.4,422.4,220.7,319.2,686,409.8,496.4,271.6,244.8,399.8,404.3,348,373,510.5,337.5,414.5,266.2,553.6,570.8,256.7,270,468.9
